projectMainBranch,newContributorCount,hasContrib,readmeUrl,recentContributorCount,recentCommitCount,originUrl
41684236,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:0e01b4308c1424d861f0af570038bfd5209c0691/raw/,6,55,https://github.com/insanum/gcalcli
42053142,0,TRUE,null,24,207,https://github.com/pallets/flask
44529996,3,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:29217c5f7d084033acedbb112d6c0f26d64fa7d7/raw/,4,100,https://github.com/CorentinJ/Real-Time-Voice-Cloning
44996249,2,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:6b151e5a23f72a9626b40d541a5f35360e34fa43/raw/,7,59,https://github.com/gpuweb/gpuweb
44084294,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:f290c372dfd4da0f8ebfdeb72c892f2dd5f795c2/raw/,0,0,deb://Debian/packages/tryton-modules-party-siret
44340301,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:599053859e7db3a38ba95f2b14856646084a0c1d/raw/,0,0,deb://Debian/packages/tryton-modules-sale
43844480,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:75d8d9367fec513da89492685a95e16cdeaa06bb/raw/,0,0,https://pypi.org/project/deprecation/
43497138,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:2f0d88a5a5e9a820e8d06f128d4d434a4cd41967/raw/,0,0,deb://Debian/packages/tryton-modules-project-plan
45666599,1,TRUE,null,0,0,https://pypi.org/project/ipywidgets/
44659022,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:966e86d5f4f85ff1976672ced699576e11ccb491/raw/,0,0,deb://Debian/packages/tryton-modules-account-de-skr03
44477694,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:f16648ac42ffe11bf941189e9dcf265b20d503d1/raw/,4,52,https://github.com/miguelgrinberg/python-socketio
45219631,0,TRUE,null,3,16,https://github.com/PokeAPI/pokeapi
45125619,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:653337937dfeb828a42371b0527066f30383bb15/raw/,0,0,https://pypi.org/project/cmdstanpy/
45241789,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:29d79101f2d545d9d970ff6f4f9e9fa732ddad51/raw/,1,40,https://gitlab.com/ae-dir/python-aedir.git
43909805,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:02a808f414fbe8fc4b42cd42f275f1c4f9ce6d70/raw/,2,27,https://github.com/corpnewt/gibMacOS
45501175,2,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:48e7d2096489c0e1209c7a3521c06d2f38d79ec2/raw/,6,14,https://github.com/openai/spinningup
42671753,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:e4c88dec8e55c31804c98a47bdb34b00fae16060/raw/,0,0,https://pypi.org/project/moto/
43638670,0,TRUE,null,6,647,https://github.com/Yelp/mrjob
44175729,0,TRUE,null,3,53,https://github.com/google/python-fire
45102571,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:073ed4ace5e5c1aedb9422525fac1544a7a142e0/raw/,0,0,https://pypi.org/project/orderedmultidict/
40983922,2,TRUE,null,10,452,<no origin>
45422070,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:b34c250eddd01839c9550bf2b7b5f962b3766724/raw/,0,0,https://gitlab.com/diegogangl/reflow.git
45267481,5,TRUE,null,0,0,https://github.com/tensortrade-org/tensortrade
45646425,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:a53eeaa632861feab896d35f6bb593b7de5f76ba/raw/,4,130,https://gitlab.com/becheran/pysg.git
44531717,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:6479d4bc48ecdbe53cc56b3d355b936d7c80a611/raw/,1,5,https://gitlab.com/edleh/pampi.git
45575183,2,TRUE,null,3,668,https://github.com/PySimpleGUI/PySimpleGUI
45608101,3,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:85a5f81603cfd2d9eb9014c43a18942a08e189d6/raw/,7,88,https://github.com/ccrisan/motioneye
45337675,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:499bb4f6b0299f5255b19265d9449144025855fa/raw/,0,0,https://pypi.org/project/thrift-sasl/
42078637,0,TRUE,null,5,73,https://gitlab.com/EAVISE/brambox.git
42057675,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:502b2f8ae554a4ce49c74d135cb85f1d4cc4d951/raw/,1,75,https://github.com/TheKingOfDuck/fuzzDicts
44605702,0,TRUE,null,2,126,https://github.com/keras-team/autokeras
40141592,2,TRUE,null,5,29,https://github.com/locustio/locust
43593309,2,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:a04c87adf4e2084f7ebae4c51a00f37d8b0027d1/raw/,0,0,https://github.com/jiangxufeng/v2rayL
42647586,1,TRUE,null,9,120,https://github.com/pyro-ppl/pyro
45678558,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:8c1d7a0c666936deb071bac066d2555f8f7b58bb/raw/,0,0,deb://Debian/packages/python-hplefthandclient
45303080,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:5899185a1ffddc814e85cbe18abdd403463910a5/raw/,0,0,https://pypi.org/project/azure-mgmt-servicefabric/
44526281,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:ac0679f1b3c52b3b23cb231bdf61b0e8c7e1da7e/raw/,1,1,https://github.com/xinntao/ESRGAN
45652911,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:cbfa47c94aeba4bd6ac0c2a6d890c4e3b6e5508d/raw/,0,0,https://github.com/NVIDIA/vid2vid
45650348,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:5c59cef85d601f754187a70a0d85922a808e565c/raw/,0,0,deb://Debian/packages/ganyremote
41388778,2,TRUE,null,8,84,https://github.com/weskerfoot/DeleteFB
41763367,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:1e59407bfad08ac8d17c177df69e23f0ae9fb2f1/raw/,1,72,https://github.com/ijl/orjson
40111444,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:c8b32c7592ca6c8215f17568fed09463fecd2ac0/raw/,2,50,https://gitlab.com/kabaretstudio/kabaret.git
43035027,0,TRUE,null,4,23,https://github.com/thumbor/thumbor
45653060,1,TRUE,null,0,0,https://pypi.org/project/kubernetes/
